,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,KO,KO,KO,KO,KO,KO,KO,GE,GE,GE,GE,GE,GE,GE,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-15 00:00:00-05:00,21.989589162581353,23.07608832102984,21.749213242570626,23.037628173828125,59344000,0.0,0.0,0.3145724450864306,0.3169233619163339,0.3009363138418638,0.31081098318099976,1006006400,0.0,0.0,15.641985124424316,15.99573700039458,15.641985124424316,15.94959545135498,9702600,0.0,0.0,84.89174276909812,86.66255618407975,84.46245615957721,86.50157165527344,3749846,0.0,0.0,22.09596781755881,22.411907191460838,21.701044956043397,22.392160415649414,6348000,0.0,0.0,14.804765507899631,15.186659812927246,14.753846267229283,15.186659812927246,2895755,0.0,0.0
1999-01-19 00:00:00-05:00,23.287603266459392,24.364486654503757,23.210683024456223,23.941425323486328,102741600,0.0,0.0,0.3155126677929553,0.3183337566113311,0.30375726049831,0.30751872062683105,534889600,0.0,0.0,15.949598384879486,16.011120461581047,15.442041252091613,15.780412673950195,8228400,0.0,0.0,86.71618446782905,87.36011409478611,85.48197576498602,87.09181213378906,3117599,0.0,0.0,23.22149619021366,23.53743551649533,22.90555686393199,23.497941970825195,9146250,0.0,0.0,15.212130231811818,15.22486005101585,14.575639271610202,14.817505836486816,3339710,0.0,0.0
1999-01-20 00:00:00-05:00,25.68175355660558,25.806748987618636,24.996682444322484,25.0183162689209,125481200,0.0,0.0,0.30892922405482004,0.3159827989751026,0.3046975662765495,0.3051677644252777,778120000,0.0,0.0,15.780412747237483,15.795793266484303,15.50356340079472,15.611227035522461,7395200,0.0,0.0,87.41378130987,87.73575025499048,85.32099956846898,86.17958068847656,3768813,0.0,0.0,23.734894980291962,24.722204654009033,23.57692622793618,24.36677360534668,9931200,0.0,0.0,14.804777444943129,14.906616008395925,14.155556602931549,14.23193645477295,4717981,0.0,0.0
1999-01-21 00:00:00-05:00,24.883710108959196,25.124085979408957,24.268347880607813,24.354883193969727,80077200,0.0,0.0,0.30422726818742235,0.3051676389862832,0.2821270100233436,0.2920016944408417,600488000,0.0,0.0,15.54970427382416,15.54970427382416,14.996005605320034,15.149810791015625,12716600,0.0,0.0,86.17958149956922,86.93083691129354,84.99903962427133,85.26734161376953,3056065,0.0,0.0,24.01134899168218,24.307541611613225,23.37947019728509,23.813886642456055,8336550,0.0,0.0,14.321034812037055,14.932065789276173,14.244655939882167,14.782490730285645,3771466,0.0,0.0
1999-01-22 00:00:00-05:00,23.941439666748046,24.65054857254028,23.88374945068359,24.03759002685547,82160000,0.0,0.0,0.2835384719766462,0.29717461757959407,0.2788358133270635,0.2915315628051758,345766400,0.0,0.0,15.11905174529528,15.11905174529528,14.657636127432758,14.980627059936523,15610600,0.0,0.0,84.83804856742994,85.69662142795858,83.60384803018489,84.03313446044922,3031652,0.0,0.0,23.33998021426046,23.5374425784079,22.62911787270938,22.70810317993164,7715700,0.0,0.0,14.65201549962621,14.690204950234286,14.371959528500307,14.524717330932617,2653446,0.0,0.0
1999-01-25 00:00:00-05:00,24.87409373986675,25.12408463172471,24.479877333475358,24.902938842773438,103076400,0.0,0.0,0.2952931737731427,0.29764494376963124,0.2920019112020033,0.2962343990802765,385336000,0.0,0.0,14.980628649078037,15.50356640479534,14.780681860127302,15.48818588256836,10226800,0.0,0.0,84.14047763314,87.03817422272702,84.14047763314,86.28691864013672,2886360,0.0,0.0,22.68836064182541,23.596685517297807,22.68836064182541,23.5177001953125,5817600,0.0,0.0,15.072092873358995,15.772231566126436,15.072092873358995,15.301229476928711,6923644,0.0,0.0
1999-01-26 00:00:00-05:00,25.4606139580843,26.42211750635032,25.306773390361737,26.393272399902344,120203200,0.0,0.0,0.3004658228690955,0.3075185664921129,0.2981149083280897,0.3046974539756775,560044800,0.0,0.0,15.488188644508261,15.565091269356863,14.780684495901133,15.395905494689941,11162000,0.0,0.0,86.28692300486918,87.68211670079297,85.80397764931355,87.57479095458984,3027708,0.0,0.0,23.557190143162384,23.794144283103048,23.182013960134075,23.458459854125977,4345200,0.0,0.0,15.301235996501834,15.721320877954499,15.224857096101628,15.453993797302246,3465530,0.0,0.0
1999-01-27 00:00:00-05:00,26.53749840625398,26.83556451154162,25.922136124369832,25.94136619567871,98048000,0.0,0.0,0.30845915539400803,0.311281098832699,0.3004660597428342,0.30187660455703735,364952000,0.0,0.0,15.395900562245359,15.93421876372247,15.149812241570109,15.734272003173828,9598600,0.0,0.0,88.32602686438472,88.43334438569552,87.14548492431639,87.1454849243164,2789270,0.0,0.0,23.45846434373122,23.5966882210895,22.964809188437616,23.1030330657959,5808900,0.0,0.0,15.504911956871034,15.606750483464642,15.046638587199796,15.1102876663208,3271060,0.0,0.0
1999-01-28 00:00:00-05:00,26.42212906377069,26.77788553224213,26.124062833429754,26.76827049255371,78838400,0.0,0.0,0.30751872062683105,0.3103406632552463,0.3032870622872073,0.30751872062683105,336280000,0.0,0.0,15.734278332935412,16.16493306736571,15.641995175557494,16.026508331298828,10326600,0.0,0.0,87.36014623459714,89.45292854331787,87.36014623459714,88.80899047851562,2761789,0.0,0.0,23.083289736044303,23.438721067178353,22.945067645814778,23.261005401611328,4809300,0.0,0.0,15.17392911189363,15.555823394500113,15.17392911189363,15.40306568145752,2555613,0.0,0.0
1999-01-29 00:00:00-05:00,26.883622782570978,26.941312960215978,26.287490946905955,26.922082901000977,79571600,0.0,0.0,0.3098703622817993,0.3126914501646174,0.30093607188046956,0.3098703622817993,242715200,0.0,0.0,16.026511229738666,16.21107757787385,15.872705939626009,16.07265281677246,8236000,0.0,0.0,88.86267053262509,90.15053044992801,87.78944573392818,90.043212890625,3480045,0.0,0.0,23.4387117072258,24.524752054600235,23.30048967219349,24.307544708251953,9135450,0.0,0.0,15.479456186419972,15.861350756405828,15.288508901427042,15.810431480407715,3741327,0.0,0.0
